
TimeStep 0 0 x: 5.00 y: 22.00 z: 956.00 
TimeStep 0 1 x: 551.00 y: 587.00 z: 211.00 
TimeStep 0 2 x: 909.00 y: 805.00 z: 910.00 
TimeStep 0 3 x: 460.00 y: 257.00 z: 659.00 
TimeStep 0 4 x: 520.00 y: 194.00 z: 81.00 
TimeStep 0 5 x: 124.00 y: 546.00 z: 799.00 
TimeStep 0 6 x: 288.00 y: 340.00 z: 81.00 
TimeStep 0 7 x: 724.00 y: 244.00 z: 838.00 
TimeStep 1 0 x: 4.74 y: 22.56 z: 956.57 
TimeStep 1 1 x: 551.53 y: 586.03 z: 211.78 
TimeStep 1 2 x: 909.31 y: 804.75 z: 910.01 
TimeStep 1 3 x: 460.06 y: 256.26 z: 658.45 
TimeStep 1 4 x: 519.77 y: 194.68 z: 81.89 
TimeStep 1 5 x: 123.28 y: 545.85 z: 799.62 
TimeStep 1 6 x: 288.97 y: 339.97 z: 81.91 
TimeStep 1 7 x: 724.37 y: 244.01 z: 837.49 
TimeStep 2 0 x: 4.48 y: 23.12 z: 957.14 
TimeStep 2 1 x: 552.06 y: 585.06 z: 212.56 
TimeStep 2 2 x: 909.62 y: 804.50 z: 910.02 
TimeStep 2 3 x: 460.12 y: 255.52 z: 657.90 
TimeStep 2 4 x: 519.54 y: 195.36 z: 82.78 
TimeStep 2 5 x: 122.56 y: 545.70 z: 800.24 
TimeStep 2 6 x: 289.94 y: 339.94 z: 82.82 
TimeStep 2 7 x: 724.74 y: 244.02 z: 836.98 
TimeStep 3 0 x: 4.22 y: 23.68 z: 957.71 
TimeStep 3 1 x: 552.59 y: 584.09 z: 213.34 
TimeStep 3 2 x: 909.93 y: 804.25 z: 910.03 
TimeStep 3 3 x: 460.18 y: 254.78 z: 657.35 
TimeStep 3 4 x: 519.31 y: 196.04 z: 83.67 
TimeStep 3 5 x: 121.84 y: 545.55 z: 800.86 
TimeStep 3 6 x: 290.91 y: 339.91 z: 83.73 
TimeStep 3 7 x: 725.11 y: 244.03 z: 836.47 
TimeStep 4 0 x: 3.96 y: 24.24 z: 958.28 
TimeStep 4 1 x: 553.12 y: 583.12 z: 214.12 
TimeStep 4 2 x: 910.24 y: 804.00 z: 910.04 
TimeStep 4 3 x: 460.24 y: 254.04 z: 656.80 
TimeStep 4 4 x: 519.08 y: 196.72 z: 84.56 
TimeStep 4 5 x: 121.12 y: 545.40 z: 801.48 
TimeStep 4 6 x: 291.88 y: 339.88 z: 84.64 
TimeStep 4 7 x: 725.48 y: 244.04 z: 835.96 
TimeStep 5 0 x: 3.70 y: 24.80 z: 958.85 
TimeStep 5 1 x: 553.65 y: 582.15 z: 214.90 
TimeStep 5 2 x: 910.55 y: 803.75 z: 910.05 
TimeStep 5 3 x: 460.30 y: 253.30 z: 656.25 
TimeStep 5 4 x: 518.85 y: 197.40 z: 85.45 
TimeStep 5 5 x: 120.40 y: 545.25 z: 802.10 
TimeStep 5 6 x: 292.85 y: 339.85 z: 85.55 
TimeStep 5 7 x: 725.85 y: 244.05 z: 835.45 
TimeStep 6 0 x: 3.44 y: 25.36 z: 959.42 
TimeStep 6 1 x: 554.18 y: 581.18 z: 215.68 
TimeStep 6 2 x: 910.86 y: 803.50 z: 910.06 
TimeStep 6 3 x: 460.36 y: 252.56 z: 655.70 
TimeStep 6 4 x: 518.62 y: 198.08 z: 86.34 
TimeStep 6 5 x: 119.68 y: 545.10 z: 802.72 
TimeStep 6 6 x: 293.82 y: 339.82 z: 86.46 
TimeStep 6 7 x: 726.22 y: 244.06 z: 834.94 
TimeStep 7 0 x: 3.18 y: 25.92 z: 959.99 
TimeStep 7 1 x: 554.71 y: 580.21 z: 216.46 
TimeStep 7 2 x: 911.17 y: 803.25 z: 910.07 
TimeStep 7 3 x: 460.42 y: 251.82 z: 655.15 
TimeStep 7 4 x: 518.39 y: 198.76 z: 87.23 
TimeStep 7 5 x: 118.96 y: 544.95 z: 803.34 
TimeStep 7 6 x: 294.79 y: 339.79 z: 87.37 
TimeStep 7 7 x: 726.59 y: 244.07 z: 834.43 
TimeStep 8 0 x: 2.92 y: 26.48 z: 960.56 
TimeStep 8 1 x: 555.24 y: 579.24 z: 217.24 
TimeStep 8 2 x: 911.48 y: 803.00 z: 910.08 
TimeStep 8 3 x: 460.48 y: 251.08 z: 654.60 
TimeStep 8 4 x: 518.16 y: 199.44 z: 88.12 
TimeStep 8 5 x: 118.24 y: 544.80 z: 803.96 
TimeStep 8 6 x: 295.76 y: 339.76 z: 88.28 
TimeStep 8 7 x: 726.96 y: 244.08 z: 833.92 
TimeStep 9 0 x: 2.66 y: 27.04 z: 961.13 
TimeStep 9 1 x: 555.77 y: 578.27 z: 218.02 
TimeStep 9 2 x: 911.79 y: 802.75 z: 910.09 
TimeStep 9 3 x: 460.54 y: 250.34 z: 654.05 
TimeStep 9 4 x: 517.93 y: 200.12 z: 89.01 
TimeStep 9 5 x: 117.52 y: 544.65 z: 804.58 
TimeStep 9 6 x: 296.73 y: 339.73 z: 89.19 
TimeStep 9 7 x: 727.33 y: 244.09 z: 833.41 

